Total stairs: 63
1 90.7 2128.7
2 414.7 6322.0
3 804.0 32767.0
4 987.4 32053.9
5 1004.4 30980.0
6 1020.4 29844.5
7 1036.5 28666.5
8 1049.0 27655.8
9 1068.0 26502.7
10 1084.0 25367.2
11 1094.8 24257.1
12 1113.4 23166.3
13 1133.2 22043.5
14 1144.0 20886.7
15 1161.4 19768.7
16 1176.5 18670.3
17 1195.3 17538.1
18 1210.8 16382.7
19 1224.2 15311.2
20 1243.0 14179.2
21 1258.5 13024.8
22 1275.3 11900.4
23 1289.6 10789.8
24 1304.1 9665.1
25 1317.7 8535.3
26 1339.2 7410.2
27 1353.3 6324.0
28 1369.6 5191.0
29 1386.5 4056.8
30 1400.6 2980.5
31 1420.0 1837.3
32 1433.2 697.7
33 1450.2 -414.7
34 1464.4 -1509.0
35 1479.7 -2630.6
36 1499.7 -3787.4
37 1511.3 -4887.0
38 1530.0 -5969.2
39 1545.6 -7108.9
40 1562.8 -8288.0
41 1581.0 -9346.7
42 1593.0 -10452.7
43 1609.2 -11630.9
44 1623.8 -12722.8
45 1641.8 -13812.0
46 1652.5 -14970.3
47 1670.0 -16083.0
48 1686.4 -17152.4
49 1700.5 -18304.0
50 1720.0 -19466.3
51 1735.4 -20542.7
52 1751.8 -21625.2
53 1766.0 -22794.7
54 1782.3 -23934.4
55 1798.4 -25037.9
56 1813.0 -26161.0
57 1831.4 -27285.5
58 1848.3 -28418.3
59 1867.0 -29513.7
60 1881.3 -30601.4
61 1895.5 -31767.8
62 2264.5 -32767.8
63 3388.7 2124.4
