Total stairs: 63
1 247.7 931.3
2 656.4 1996.9
3 989.5 32767.0
4 1172.5 32314.9
5 1188.0 31172.7
6 1204.0 30034.3
7 1219.8 28916.9
8 1236.0 27782.9
9 1251.6 26637.8
10 1268.0 25511.1
11 1284.0 24388.5
12 1300.0 23242.4
13 1316.0 22102.1
14 1332.0 20970.7
15 1347.5 19851.9
16 1363.0 18705.9
17 1379.0 17567.8
18 1395.1 16443.2
19 1411.0 15321.2
20 1427.0 14176.2
21 1443.0 13041.6
22 1459.0 11917.3
23 1475.0 10775.8
24 1491.0 9635.8
25 1507.0 8507.9
26 1523.0 7384.8
27 1538.5 6254.4
28 1554.0 5112.5
29 1570.0 3990.3
30 1586.0 2850.3
31 1602.0 1709.8
32 1618.0 574.6
33 1634.0 -552.5
34 1650.0 -1697.2
35 1666.0 -2837.4
36 1682.0 -3961.1
37 1698.0 -5088.5
38 1714.0 -6231.5
39 1730.0 -7363.6
40 1745.2 -8484.0
41 1761.0 -9623.4
42 1777.0 -10759.9
43 1793.0 -11889.0
44 1809.0 -13017.1
45 1824.5 -14154.4
46 1841.0 -15296.9
47 1856.8 -16416.9
48 1873.0 -17549.3
49 1889.0 -18692.3
50 1904.5 -19830.8
51 1921.0 -20950.5
52 1936.5 -22087.1
53 1952.5 -23230.1
54 1968.0 -24364.5
55 1984.0 -25481.8
56 2000.0 -26617.5
57 2016.0 -27762.6
58 2032.5 -28892.1
59 2048.1 -30011.4
60 2064.0 -31154.3
61 2080.0 -32288.6
62 2478.5 -32768.0
63 3514.1 1870.3
