Total stairs: 104
1 115.5 612.7
2 372.5 1994.7
3 522.0 14741.5
4 537.5 14471.1
5 554.0 14183.2
6 570.0 13888.9
7 585.5 13614.6
8 601.0 13335.4
9 617.0 13048.5
10 633.0 12760.1
11 649.0 12482.2
12 665.0 12192.4
13 680.8 11909.9
14 697.0 11627.7
15 713.0 11346.6
16 729.0 11058.7
17 745.0 10771.9
18 760.5 10498.0
19 776.0 10208.8
20 792.0 9916.4
21 808.0 9648.1
22 824.0 9365.8
23 839.7 9072.9
24 856.0 8784.2
25 872.0 8514.8
26 888.0 8234.9
27 904.0 7936.6
28 920.0 7661.9
29 935.6 7385.2
30 951.0 7093.5
31 967.0 6806.7
32 983.0 6536.4
33 999.3 6257.1
34 1015.5 5961.6
35 1031.0 5676.2
36 1047.0 5404.4
37 1063.1 5114.8
38 1079.0 4820.3
39 1095.0 4544.8
40 1110.5 4269.7
41 1126.0 3975.8
42 1142.0 3686.4
43 1158.0 3410.9
44 1174.0 3128.8
45 1190.0 2838.9
46 1206.0 2554.7
47 1221.6 2279.4
48 1238.0 1993.1
49 1254.0 1707.5
50 1270.4 1424.6
51 1285.5 1152.7
52 1301.0 863.2
53 1317.0 568.4
54 1333.0 296.8
55 1349.0 13.8
56 1364.5 -279.2
57 1381.0 -569.5
58 1397.0 -842.3
59 1413.0 -1123.0
60 1429.0 -1413.2
61 1445.0 -1696.2
62 1461.0 -1976.5
63 1477.0 -2264.5
64 1492.5 -2558.1
65 1508.0 -2822.9
66 1524.0 -3100.7
67 1539.6 -3395.6
68 1556.0 -3689.7
69 1572.0 -3962.6
70 1588.5 -4241.8
71 1604.0 -4525.3
72 1620.2 -4814.3
73 1636.0 -5094.5
74 1652.5 -5368.1
75 1667.5 -5667.1
76 1683.0 -5945.2
77 1698.6 -6227.2
78 1715.0 -6511.1
79 1731.0 -6797.6
80 1747.0 -7071.4
81 1762.8 -7352.1
82 1779.0 -7648.0
83 1795.3 -7931.8
84 1811.0 -8198.2
85 1827.0 -8489.1
86 1842.5 -8785.4
87 1858.0 -9049.9
88 1874.0 -9337.0
89 1890.1 -9631.3
90 1906.0 -9908.2
91 1921.8 -10186.8
92 1938.0 -10471.3
93 1954.0 -10767.4
94 1970.1 -11041.9
95 1986.0 -11321.3
96 2002.0 -11615.1
97 2017.5 -11891.6
98 2033.0 -12173.5
99 2049.5 -12456.8
100 2065.0 -12748.5
101 2081.0 -13029.9
102 2097.0 -13302.4
103 2396.9 -13593.5
104 3418.2 1659.5
