Total stairs: 62
1 1.0 1825.0
2 45.0 2047.3
3 167.8 2002.5
4 283.0 17348.5
5 411.0 17433.5
6 514.0 17527.0
7 551.0 17450.0
8 600.8 17391.4
9 783.0 32767.0
10 967.3 31984.6
11 982.0 30771.5
12 998.0 29695.5
13 1009.0 28569.5
14 1030.0 27442.0
15 1045.0 26308.3
16 1059.0 25143.0
17 1071.0 24190.7
18 1091.0 23123.7
19 1109.8 21894.3
20 1124.0 20758.8
21 1154.4 18533.1
22 1174.0 17420.7
23 1187.5 16193.5
24 1204.5 15277.7
25 1218.0 14096.3
26 1236.5 12837.7
27 1246.0 11923.0
28 1255.5 11693.7
29 1265.0 10727.2
30 1304.3 8434.7
31 1322.0 7265.0
32 1348.0 5066.6
33 1360.0 3929.3
34 1381.0 2905.3
35 1397.0 1841.7
36 1411.0 499.3
37 1427.0 -509.8
38 1445.5 -1495.3
39 1457.2 -2745.5
40 1480.0 -3874.0
41 1492.5 -4942.2
42 1502.5 -6127.0
43 1554.3 -9417.7
44 1568.5 -10662.8
45 1584.0 -11627.7
46 1602.7 -12741.9
47 1621.5 -13791.7
48 1631.5 -14986.7
49 1654.5 -16151.8
50 1666.5 -17254.5
51 1701.0 -19463.7
52 1708.0 -20688.7
53 1727.0 -21757.2
54 1743.7 -22920.3
55 1757.0 -23905.8
56 1775.5 -24997.0
57 1792.5 -26321.5
58 1808.5 -27387.8
59 1825.0 -28505.0
60 1839.5 -29477.2
61 1874.0 -31737.5
62 3013.0 -32768.0
